school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
P.S. 016 JOHN J. DRISCOLL,31R016,,,,,353100010016.0,31.0,40.639728999999996,-74.07958199999999,"80 MONROE AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8290000000000001,"$49,651.70 ",23%,6%,28%,55%,83%,10%,92%,30%,95%,Meeting Target,87%,Meeting Target,90%,Meeting Target,74%,Approaching Target,83%,Approaching Target,89%,Meeting Target,Approaching Target,2.15,2.18
P.S. 018 JOHN G. WHITTIER,31R018,,,,,353100010018.0,31.0,40.636542999999996,-74.11688199999999,"221 BROADWAY STATEN ISLAND, NY 10310",STATEN ISLAND,10310.0,"PK,0K,01,02,03,04,05",PK,05,No,0.851,"$47,859.82 ",6%,4%,43%,46%,89%,5%,92%,34%,89%,Meeting Target,81%,Approaching Target,84%,Approaching Target,72%,Approaching Target,83%,Approaching Target,86%,Approaching Target,Approaching Target,2.15,2.34
P.S. 019 THE CURTIS SCHOOL,31R019,,,,,353100010019.0,31.0,40.630563,-74.126888,"780 POST AVE STATEN ISLAND, NY 10310",STATEN ISLAND,10310.0,"0K,01,02,03,04,05",0K,05,No,0.755,"$59,197.08 ",17%,4%,16%,68%,84%,8%,93%,24%,89%,Meeting Target,89%,Exceeding Target,91%,Meeting Target,75%,Approaching Target,85%,Meeting Target,91%,Meeting Target,Approaching Target,2.36,2.53
P.S. 020 PORT RICHMOND,31R020,,,,,353100010020.0,31.0,40.636739,-74.132576,"161 PARK AVE STATEN ISLAND, NY 10302",STATEN ISLAND,10302.0,"PK,0K,01,02,03,04,05",PK,05,No,0.862,"$41,980.16 ",38%,1%,13%,79%,91%,6%,94%,18%,86%,Approaching Target,89%,Approaching Target,92%,Meeting Target,85%,Meeting Target,84%,Meeting Target,90%,Meeting Target,Meeting Target,2.16,2.32
P.S. 21 MARGARET EMERY-ELM PARK,31R021,,,,,353100010021.0,31.0,40.631307,-74.144611,"168 HOOKER PL STATEN ISLAND, NY 10302",STATEN ISLAND,10302.0,"PK,0K,01,02,03,04,05",PK,05,No,0.7879999999999999,"$54,340.32 ",17%,2%,24%,58%,83%,15%,93%,20%,98%,Meeting Target,91%,Meeting Target,95%,Meeting Target,78%,Approaching Target,82%,Approaching Target,87%,Meeting Target,Meeting Target,2.2,2.36
P.S. 022 GRANITEVILLE,31R022,,,,,353100010022.0,31.0,40.624959000000004,-74.150648,"1860 FOREST AVE STATEN ISLAND, NY 10303",STATEN ISLAND,10303.0,"PK,0K,01,02,03,04,05",PK,05,No,0.696,"$60,992.26 ",14%,7%,24%,55%,79%,12%,93%,25%,85%,Meeting Target,86%,Exceeding Target,87%,Meeting Target,66%,Not Meeting Target,80%,Approaching Target,89%,Meeting Target,Meeting Target,2.44,2.65
P.S. 023 RICHMONDTOWN,31R023,,,,,353100010023.0,31.0,40.570691,-74.133509,"30 NATICK ST STATEN ISLAND, NY 10306",STATEN ISLAND,10306.0,"PK,0K,01,02,03,04,05",PK,05,No,0.261,"$88,174.15 ",2%,3%,1%,17%,18%,77%,95%,10%,95%,Meeting Target,97%,Exceeding Target,95%,Exceeding Target,92%,Exceeding Target,88%,Meeting Target,97%,Exceeding Target,Exceeding Target,3.0,3.29
P.S. 026 THE CARTERET SCHOOL,31R026,,,,,353100010026.0,31.0,40.59156,-74.190234,"4108 VICTORY BLVD STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"0K,01,02,03,04,05",0K,05,No,0.392,"$79,357.72 ",9%,8%,4%,34%,39%,51%,95%,11%,99%,Exceeding Target,99%,Exceeding Target,97%,Exceeding Target,94%,Exceeding Target,89%,Exceeding Target,99%,Exceeding Target,Approaching Target,2.65,2.87
P.S. 029 BARDWELL,31R029,,,,,353100010029.0,31.0,40.613944000000004,-74.116236,"1581 VICTORY BLVD STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"PK,0K,01,02,03,04,05",PK,05,No,0.34700000000000003,"$72,028.99 ",3%,16%,9%,22%,30%,52%,95%,10%,94%,Exceeding Target,95%,Exceeding Target,97%,Exceeding Target,88%,Exceeding Target,97%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.89,3.06
P.S. 030 WESTERLEIGH,31R030,,,,,353100010030.0,31.0,40.618028,-74.133161,"200 WARDWELL AVE STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"0K,01,02,03,04,05",0K,05,No,0.31,"$83,138.08 ",6%,6%,2%,23%,25%,66%,95%,14%,95%,Exceeding Target,97%,Exceeding Target,96%,Meeting Target,89%,Exceeding Target,84%,Meeting Target,96%,Exceeding Target,Meeting Target,2.85,3.12
P.S. 031 WILLIAM T. DAVIS,31R031,,,,,353100010031.0,31.0,40.641954,-74.08545699999999,"55 LAYTON AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301.0,"PK,0K,01,02,03,04,05",PK,05,No,0.902,"$49,054.18 ",4%,0%,52%,39%,91%,4%,90%,41%,89%,Approaching Target,90%,Meeting Target,89%,Approaching Target,78%,Meeting Target,85%,Meeting Target,93%,Meeting Target,Meeting Target,2.12,2.18
P.S. 032 THE GIFFORD SCHOOL,31R032,,,,,353100010032.0,31.0,40.555229,-74.154172,"32 ELVERTON AVE STATEN ISLAND, NY 10308",STATEN ISLAND,10308.0,"PK,0K,01,02,03,04,05",PK,05,No,0.243,"$87,061.73 ",2%,3%,1%,17%,17%,78%,95%,13%,88%,Exceeding Target,90%,Meeting Target,93%,Meeting Target,83%,Meeting Target,86%,Meeting Target,90%,Meeting Target,Meeting Target,2.74,2.94
P.S. 35 THE CLOVE VALLEY SCHOOL,31R035,,,,,353100010035.0,31.0,40.613578000000004,-74.098959,"60 FOOTE AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301.0,"0K,01,02,03,04,05",0K,05,No,0.319,"$74,254.73 ",3%,6%,9%,24%,32%,57%,94%,14%,99%,Exceeding Target,96%,Exceeding Target,99%,Exceeding Target,85%,Meeting Target,87%,Meeting Target,96%,Exceeding Target,Meeting Target,3.13,3.32
P.S. 036 J. C. DRUMGOOLE,31R036,,,,,353100010036.0,31.0,40.543238,-74.182578,"255 IONIA AVE STATEN ISLAND, NY 10312",STATEN ISLAND,10312.0,"PK,0K,01,02,03,04,05",PK,05,No,0.17300000000000001,"$88,391.97 ",2%,6%,0%,12%,12%,81%,95%,8%,89%,Approaching Target,85%,Meeting Target,91%,Meeting Target,69%,Approaching Target,84%,Meeting Target,83%,Approaching Target,Meeting Target,3.06,3.14
P.S. 038 GEORGE CROMWELL,31R038,,,,,353100010038.0,31.0,40.574938,-74.099425,"421 LINCOLN AVE STATEN ISLAND, NY 10306",STATEN ISLAND,10306.0,"PK,0K,01,02,03,04,05",PK,05,No,0.5379999999999999,"$80,042.25 ",15%,8%,2%,33%,36%,55%,95%,16%,98%,Meeting Target,92%,Meeting Target,96%,Meeting Target,84%,Meeting Target,82%,Approaching Target,90%,Meeting Target,Meeting Target,2.75,2.88
P.S. 39 FRANCIS J. MURPHY JR.,31R039,,,,,353100010039.0,31.0,40.597613,-74.071405,"71 SAND LN STATEN ISLAND, NY 10305",STATEN ISLAND,10305.0,"PK,0K,01,02,03,04,05",PK,05,No,0.562,"$73,449.66 ",11%,14%,5%,32%,37%,47%,94%,19%,97%,Exceeding Target,93%,Exceeding Target,97%,Exceeding Target,85%,Meeting Target,86%,Meeting Target,94%,Exceeding Target,Approaching Target,2.57,2.68
THE STEPHANIE A. VIERNO SCHOOL,31R041,,,,,353100010041.0,31.0,40.573921999999996,-74.10908,"216 CLAWSON ST STATEN ISLAND, NY 10306",STATEN ISLAND,10306.0,"PK,0K,01,02,03,04,05",PK,05,No,0.47,"$72,519.97 ",11%,7%,3%,29%,32%,57%,94%,15%,93%,Exceeding Target,87%,Exceeding Target,89%,Meeting Target,78%,Meeting Target,83%,Approaching Target,85%,Approaching Target,Meeting Target,2.75,2.87
P.S. 042 ELTINGVILLE,31R042,,,,,353100010042.0,31.0,40.552214,-74.16904,"380 GENESEE AVE STATEN ISLAND, NY 10312",STATEN ISLAND,10312.0,"PK,0K,01,02,03,04,05",PK,05,No,0.249,"$79,364.56 ",3%,5%,1%,14%,14%,80%,95%,13%,96%,Meeting Target,95%,Meeting Target,97%,Meeting Target,84%,Meeting Target,86%,Meeting Target,96%,Exceeding Target,Meeting Target,2.87,3.01
P.S. 044 THOMAS C. BROWN,31R044,,,,,353100010044.0,31.0,40.631586,-74.15706800000001,"80 MAPLE PKWY STATEN ISLAND, NY 10303",STATEN ISLAND,10303.0,"PK,0K,01,02,03,04,05",PK,05,No,0.8340000000000001,"$41,056.56 ",7%,3%,39%,52%,91%,2%,91%,37%,89%,Approaching Target,85%,Meeting Target,87%,Approaching Target,72%,Approaching Target,81%,Approaching Target,90%,Meeting Target,Meeting Target,2.11,2.18
P.S. 045 JOHN TYLER,31R045,,,,,353100010045.0,31.0,40.628306,-74.107516,"58 LAWRENCE AVE STATEN ISLAND, NY 10310",STATEN ISLAND,10310.0,"PK,0K,01,02,03,04,05",PK,05,No,0.635,"$66,662.96 ",5%,5%,17%,47%,64%,27%,93%,21%,91%,Exceeding Target,87%,Meeting Target,88%,Meeting Target,79%,Meeting Target,88%,Meeting Target,88%,Meeting Target,Meeting Target,2.55,2.56
P.S. 046 ALBERT V. MANISCALCO,31R046,,,,,353100010046.0,31.0,40.594211,-74.08052099999999,"41 REID AVE STATEN ISLAND, NY 10305",STATEN ISLAND,10305.0,"PK,0K,01,02,03,04,05",PK,05,No,0.659,"$59,790.15 ",9%,10%,15%,39%,54%,35%,92%,27%,94%,Meeting Target,93%,Exceeding Target,96%,Meeting Target,87%,Exceeding Target,84%,Meeting Target,98%,Exceeding Target,Approaching Target,2.33,2.46
P.S. 050 FRANK HANKINSON,31R050,,,,,353100010050.0,31.0,40.561488,-74.124926,"200 ADELAIDE AVE STATEN ISLAND, NY 10306",STATEN ISLAND,10306.0,"PK,0K,01,02,03,04,05",PK,05,No,0.23399999999999999,"$82,269.05 ",3%,9%,3%,15%,18%,71%,95%,11%,96%,Meeting Target,95%,Meeting Target,97%,Exceeding Target,90%,Exceeding Target,86%,Meeting Target,96%,Exceeding Target,Exceeding Target,3.29,3.55
P.S. 052 JOHN C. THOMPSON,31R052,,,,,353100010052.0,31.0,40.582437,-74.088696,"450 BUEL AVE STATEN ISLAND, NY 10305",STATEN ISLAND,10305.0,"PK,0K,01,02,03,04,05",PK,05,No,0.39799999999999996,"$69,961.21 ",12%,10%,1%,20%,21%,68%,94%,17%,93%,Meeting Target,93%,Meeting Target,94%,Meeting Target,85%,Meeting Target,86%,Meeting Target,94%,Meeting Target,Meeting Target,2.7,2.95
THE BARBARA ESSELBORN SCHOOL,31R053,,,,,353100010053.0,31.0,40.552128,-74.13738199999999,"330 DURANT AVE STATEN ISLAND, NY 10308",STATEN ISLAND,10308.0,"PK,0K,01,02,03,04,05",PK,05,No,0.24,"$82,129.41 ",4%,6%,2%,13%,15%,77%,95%,13%,98%,Exceeding Target,97%,Exceeding Target,99%,Exceeding Target,91%,Exceeding Target,87%,Meeting Target,96%,Exceeding Target,Meeting Target,2.8,3.14
P.S. 054 CHARLES W. LENG,31R054,,,,,353100010054.0,31.0,40.602779,-74.137628,"1060 WILLOWBROOK RD STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"PK,0K,01,02,03,04,05",PK,05,No,0.439,"$78,381.47 ",8%,32%,6%,24%,30%,36%,94%,16%,90%,Meeting Target,82%,Meeting Target,92%,Meeting Target,67%,Approaching Target,82%,Approaching Target,85%,Approaching Target,Meeting Target,2.78,3.18
P.S. 055 HENRY M. BOEHM,31R055,,,,,353100010055.0,31.0,40.536389,-74.163422,"54 OSBORNE ST STATEN ISLAND, NY 10312",STATEN ISLAND,10312.0,"PK,0K,01,02,03,04,05",PK,05,No,0.278,"$91,069.00 ",2%,2%,0%,11%,12%,85%,95%,11%,95%,Meeting Target,91%,Meeting Target,89%,Meeting Target,80%,Meeting Target,86%,Meeting Target,90%,Meeting Target,Meeting Target,2.8,2.99
P.S. 56 THE LOUIS DESARIO SCHOOL,31R056,,,,,353100010056.0,31.0,40.541959999999996,-74.21396700000001,"250 KRAMER AVE STATEN ISLAND, NY 10309",STATEN ISLAND,10309.0,"PK,0K,01,02,03,04,05",PK,05,No,0.25,"$80,109.28 ",1%,4%,1%,13%,14%,81%,95%,12%,93%,Approaching Target,89%,Meeting Target,93%,Meeting Target,73%,Approaching Target,82%,Approaching Target,88%,Meeting Target,Exceeding Target,3.11,3.27
P.S. 057 HUBERT H. HUMPHREY,31R057,,,,,353100010057.0,31.0,40.611011,-74.083588,"140 PALMA DR STATEN ISLAND, NY 10304",STATEN ISLAND,10304.0,"PK,0K,01,02,03,04,05",PK,05,No,0.845,"$43,857.06 ",8%,4%,53%,34%,88%,7%,90%,36%,92%,Meeting Target,91%,Meeting Target,89%,Meeting Target,82%,Meeting Target,84%,Meeting Target,94%,Meeting Target,Meeting Target,2.33,2.25
SPACE SHUTTLE COLUMBIA SCHOOL,31R058,,,,,353100010058.0,31.0,40.583065999999995,-74.160687,"77 MARSH AVE STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"PK,0K,01,02,03,04,05",PK,05,No,0.35700000000000004,"$75,172.27 ",5%,14%,6%,25%,31%,53%,94%,16%,96%,Meeting Target,97%,Meeting Target,94%,Meeting Target,88%,Exceeding Target,81%,Approaching Target,97%,Exceeding Target,Meeting Target,2.75,2.77
P.S. 060 ALICE AUSTEN,31R060,,,,,353100010060.0,31.0,40.610556,-74.162328,"55 MERRILL AVE STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"PK,0K,01,02,03,04,05,SE",PK,05,No,0.35600000000000004,"$79,967.66 ",4%,11%,4%,26%,30%,56%,95%,10%,85%,Meeting Target,84%,Meeting Target,91%,Exceeding Target,78%,Meeting Target,84%,Meeting Target,88%,Meeting Target,Approaching Target,2.65,2.75
P.S. 65 THE ACADEMY OF INNOVATIVE LEARNING,31R065,,,,,353100010065.0,31.0,40.633709,-74.078261,"98 GRANT ST STATEN ISLAND, NY 10301",STATEN ISLAND,10301.0,"PK,0K,01,02,03,04,05",PK,05,No,0.503,"$58,183.51 ",3%,4%,22%,41%,63%,27%,95%,12%,98%,Exceeding Target,97%,Meeting Target,98%,Exceeding Target,90%,Exceeding Target,89%,Exceeding Target,97%,Exceeding Target,Meeting Target,2.75,2.93
P.S. 069 DANIEL D. TOMPKINS,31R069,,,,,353100010069.0,31.0,40.591227,-74.15756,"144 KEATING PL STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"0K,01,02,03,04,05",0K,05,No,0.371,"$81,128.29 ",5%,14%,3%,22%,25%,59%,95%,12%,98%,Exceeding Target,94%,Exceeding Target,96%,Exceeding Target,86%,Meeting Target,82%,Approaching Target,92%,Meeting Target,Meeting Target,2.74,3.0
P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,31R074,,,,,353100010074.0,31.0,40.638837,-74.079494,"211 DANIEL LOW TERR STATEN ISLAND, NY 10301",STATEN ISLAND,10301.0,"0K,01,02,03,04,05",0K,05,No,0.8170000000000001,"$48,219.48 ",30%,7%,24%,63%,87%,6%,92%,29%,83%,Meeting Target,83%,Meeting Target,81%,Approaching Target,76%,Approaching Target,86%,Meeting Target,88%,Meeting Target,Exceeding Target,2.26,2.34
P.S. 78,31R078,,,,,353100010078.0,31.0,40.622417999999996,-74.079229,"100 TOMPKINS AVE STATEN ISLAND, NY 10304",STATEN ISLAND,10304.0,"PK,0K,01,02,03,04,05",PK,05,Yes,0.884,"$38,859.51 ",7%,3%,42%,49%,91%,5%,90%,41%,91%,Approaching Target,90%,Meeting Target,77%,Not Meeting Target,85%,Meeting Target,84%,Meeting Target,94%,Exceeding Target,,2.11,2.2
P.S. 075 MAYDA CORTIELLA,32K075,,,,,333200010075.0,32.0,40.693253999999996,-73.92132099999999,"95 GROVE ST BROOKLYN, NY 11221",BROOKLYN,11221.0,"PK,0K,01,02,03,04,05",PK,05,No,0.856,"$35,590.06 ",16%,2%,21%,74%,96%,2%,91%,35%,91%,Meeting Target,87%,Meeting Target,87%,Approaching Target,71%,Approaching Target,81%,Approaching Target,83%,Approaching Target,Meeting Target,2.16,2.3
P.S. 086 THE IRVINGTON,32K086,,,,,333200010086.0,32.0,40.700748,-73.91766,"220 IRVING AVE BROOKLYN, NY 11237",BROOKLYN,11237.0,"0K,01,02,03,04,05",0K,05,No,0.8809999999999999,"$45,302.62 ",28%,4%,1%,94%,95%,1%,95%,16%,93%,Exceeding Target,95%,Exceeding Target,95%,Exceeding Target,92%,Exceeding Target,85%,Meeting Target,99%,Exceeding Target,Meeting Target,2.24,2.41
P.S. 106 EDWARD EVERETT HALE,32K106,,,,,333200010106.0,32.0,40.693690999999994,-73.913234,"1328 PUTNAM AVE BROOKLYN, NY 11221",BROOKLYN,11221.0,"PK,0K,01,02,03,04,05",PK,05,No,0.847,"$41,958.04 ",26%,2%,12%,86%,98%,1%,92%,33%,96%,Meeting Target,94%,Meeting Target,96%,Meeting Target,86%,Meeting Target,83%,Approaching Target,96%,Exceeding Target,Meeting Target,2.12,2.37
P.S. 116 ELIZABETH L FARRELL,32K116,,,,,333200010116.0,32.0,40.698057,-73.916588,"515 KNICKERBOCKER AVE BROOKLYN, NY 11237",BROOKLYN,11237.0,"0K,01,02,03,04,05",0K,05,No,0.8420000000000001,"$38,932.96 ",26%,2%,4%,94%,98%,0%,94%,21%,90%,Meeting Target,81%,Meeting Target,90%,Meeting Target,63%,Not Meeting Target,79%,Not Meeting Target,83%,Approaching Target,Meeting Target,2.37,2.68
P.S. 123 SUYDAM,32K123,,,,,333200010123.0,32.0,40.703905,-73.922574,"100 IRVING AVE BROOKLYN, NY 11237",BROOKLYN,11237.0,"0K,01,02,03,04,05",0K,05,No,0.8590000000000001,"$44,858.04 ",28%,4%,3%,90%,94%,1%,95%,17%,90%,Meeting Target,94%,Meeting Target,94%,Exceeding Target,88%,Exceeding Target,89%,Meeting Target,97%,Exceeding Target,Meeting Target,2.22,2.36
P.S. 145 ANDREW JACKSON,32K145,,,,,333200010145.0,32.0,40.701446000000004,-73.932301,"100 NOLL ST BROOKLYN, NY 11206",BROOKLYN,11206.0,"PK,0K,01,02,03,04,05",PK,05,No,0.855,"$43,502.40 ",17%,1%,3%,94%,97%,2%,93%,24%,91%,Approaching Target,91%,Meeting Target,93%,Meeting Target,83%,Meeting Target,82%,Approaching Target,96%,Exceeding Target,Approaching Target,2.26,2.29
P.S. 151 LYNDON B. JOHNSON,32K151,,,,,333200010151.0,32.0,40.693371,-73.908233,"763 KNICKERBOCKER AVE BROOKLYN, NY 11237",BROOKLYN,11237.0,"PK,0K,01,02,03,04,05",PK,05,No,0.892,"$41,236.54 ",21%,0%,19%,73%,92%,8%,93%,28%,84%,Approaching Target,85%,Meeting Target,87%,Meeting Target,78%,Meeting Target,87%,Meeting Target,89%,Meeting Target,Approaching Target,2.02,2.1
P.S. 274 KOSCIUSKO,32K274,,,,,333200010274.0,32.0,40.694186,-73.928157,"800 BUSHWICK AVE BROOKLYN, NY 11221",BROOKLYN,11221.0,"PK,0K,01,02,03,04,05",PK,05,No,0.833,"$41,068.16 ",21%,1%,10%,85%,95%,1%,92%,31%,91%,Meeting Target,88%,Exceeding Target,95%,Meeting Target,81%,Meeting Target,85%,Meeting Target,93%,Meeting Target,Meeting Target,2.2,2.42
P.S. 299 THOMAS WARREN FIELD,32K299,,,,,333200010299.0,32.0,40.690996999999996,-73.91785,"88 WOODBINE ST BROOKLYN, NY 11221",BROOKLYN,11221.0,"PK,0K,01,02,03,04,05",PK,05,No,0.893,"$39,617.18 ",16%,0%,47%,51%,98%,2%,92%,29%,95%,Exceeding Target,92%,Exceeding Target,93%,Meeting Target,85%,Meeting Target,98%,Exceeding Target,93%,Exceeding Target,Exceeding Target,2.25,2.52
P.S. 376,32K376,,,,,333200010376.0,32.0,40.698048,-73.92016600000001,"194 HARMAN ST BROOKLYN, NY 11237",BROOKLYN,11237.0,"0K,01,02,03,04,05",0K,05,No,0.88,"$38,851.58 ",17%,1%,7%,90%,97%,2%,95%,13%,96%,Exceeding Target,97%,Exceeding Target,98%,Exceeding Target,92%,Exceeding Target,81%,Approaching Target,95%,Meeting Target,Exceeding Target,2.58,2.76
BEGINNING WITH CHILDREN CHARTER SCHOOL II,84K037,,,,,331400861021.0,14.0,40.703878,-73.95347199999999,"215 HEYWARD ST BROOKLYN, NY 11206",BROOKLYN,11206.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.795,"$40,077.78 ",21%,2%,31%,65%,96%,1%,95%,14%,94%,,98%,,100%,,92%,,90%,,98%,,,,
SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 2,84K125,,,,,331400861022.0,14.0,40.697703999999995,-73.943342,"211 THROOP AVE-3RD FL BROOKLYN, NY 11206",BROOKLYN,11206.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.7140000000000001,"$38,458.24 ",3%,1%,70%,25%,95%,1%,100%,0%,91%,,93%,,99%,,85%,,95%,,95%,,,,
SUCCESS ACADEMY CHARTER SCHOOL - COBBLE HILL,84K129,,,,,331500861023.0,15.0,40.685159000000006,-73.993634,"284 BALTIC ST-BSMT BROOKLYN, NY 11201",BROOKLYN,11201.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.43200000000000005,"$70,496.26 ",3%,5%,33%,30%,63%,29%,100%,0%,90%,,92%,,100%,,84%,,95%,,96%,,,,
SUCCESS ACADEMY CHARTER SCHOOL - WILLIAMSBURG,84K182,,,,,331400861024.0,14.0,40.711863,-73.960049,"183 S 3RD ST-4TH FL BROOKLYN, NY 11211",BROOKLYN,11211.0,"0K,01,03,04,05,06,07,08",0K,08,No,0.674,"$44,501.44 ",6%,3%,32%,54%,85%,9%,100%,0%,97%,,96%,,100%,,86%,,97%,,99%,,,,
SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,84K367,,,,,331400861007.0,14.0,40.696726,-73.94730899999999,"70 TOMPKINS AVE-2ND FL BROOKLYN, NY 11206",BROOKLYN,11206.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.75,"$38,902.22 ",4%,1%,69%,27%,96%,1%,0%,100%,100%,Exceeding Target,96%,Exceeding Target,96%,Exceeding Target,89%,Exceeding Target,96%,Exceeding Target,97%,Exceeding Target,,3.3,4.16
TEACHING FIRMS OF AMERICA-PROFESSIONAL PREPARATORY CHARTER SCHOOL,84K406,,,,,331600860975.0,16.0,40.688447,-73.935295,"616 QUINCY ST-3RD FL BROOKLYN, NY 11221",BROOKLYN,11221.0,"0K,01,02,03,04,05",0K,05,No,0.818,"$36,971.47 ",8%,1%,74%,20%,94%,1%,92%,26%,95%,Exceeding Target,93%,Exceeding Target,92%,Exceeding Target,89%,Exceeding Target,90%,Exceeding Target,95%,Exceeding Target,,2.72,2.49
LA CIMA CHARTER SCHOOL,84K649,,,,,331600860924.0,16.0,40.687938,-73.932378,"800 GATES AVE BROOKLYN, NY 11221",BROOKLYN,11221.0,"0K,01,02,03,04,05",0K,05,No,0.763,"$37,646.78 ",6%,4%,68%,24%,92%,2%,100%,0%,84%,Approaching Target,84%,Meeting Target,87%,Meeting Target,79%,Meeting Target,86%,Meeting Target,91%,Meeting Target,Meeting Target,2.37,2.82
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,84K680,,,,,331900860993.0,19.0,40.666256,-73.876405,"982 HEGEMAN AVE BROOKLYN, NY 11208",BROOKLYN,11208.0,"0K,01,02,03,04,05",0K,05,No,,"$35,778.71 ",3%,1%,75%,23%,97%,0%,,,,,,,,,,,,,,,,,
CITIZENS OF THE WORLD CHARTER SCHOOL 1 WILLIAMSBURG,84K689,,,,,331400861036.0,14.0,40.719769,-73.947968,"424 LEONARD ST-3RD FL BROOKLYN, NY 11222",BROOKLYN,11222.0,"0K,01,02,03,04,05",0K,05,No,,"$41,476.71 ",14%,2%,25%,63%,88%,9%,,,,,,,,,,,,,,,,,
CITIZENS OF THE WORLD CHARTER SCHOOL NEW YORK 2 CROWN HEIGHTS,84K692,,,,,331700861037.0,17.0,40.663936,-73.93606,"791 EMPIRE BLVD BROOKLYN, NY 11213",BROOKLYN,11213.0,"0K,01,02,03,04,05",0K,05,No,,"$40,623.06 ",2%,0%,90%,6%,96%,1%,,,,,,,,,,,,,,,,,
BROOKLYN CHARTER SCHOOL,84K701,,,,,331400860809.0,14.0,40.694156,-73.94779,"545 WILLOUGHBY AVE BROOKLYN, NY 11206",BROOKLYN,11206.0,"0K,01,02,03,04,05",0K,05,No,0.757,"$38,916.83 ",7%,2%,81%,16%,97%,0%,92%,26%,86%,Approaching Target,88%,Meeting Target,85%,Approaching Target,84%,Meeting Target,88%,Meeting Target,92%,Meeting Target,Approaching Target,2.42,2.61
BEGINNING WITH CHILDREN CHARTER SCHOOL,84K703,,,,,331400860825.0,14.0,40.699216,-73.945215,"185 ELLERY ST BROOKLYN, NY 11206",BROOKLYN,11206.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.812,"$34,663.34 ",7%,2%,38%,57%,95%,2%,100%,0%,88%,Meeting Target,89%,Meeting Target,84%,Meeting Target,87%,Meeting Target,89%,Meeting Target,90%,Meeting Target,Approaching Target,2.32,2.34
NEW AMERICAN ACADEMY CHARTER SCHOOL,84K736,,,,,331800861057.0,18.0,40.648057,-73.922234,"5800 TILDEN AVE BROOKLYN, NY 11203",BROOKLYN,11203.0,"0K,01,02,03,04,05",0K,05,No,,"$51,874.13 ",1%,0%,94%,6%,100%,0%,,,,,,,,,,,,,,,,,
SUCCESS ACADEMY CROWN HEIGHTS (BROOKLYN 7),84K741,,,,,331700861041.0,17.0,40.665905,-73.9492,"330 CROWN ST BROOKLYN, NY 11225",BROOKLYN,11225.0,"0K,01,02,03,04,05",0K,05,No,,"$39,389.02 ",1%,1%,91%,7%,98%,1%,,,,,,,,,,,,,,,,,
SUCCESS ACADEMY FORT GREENE (BROOKLYN 5),84K752,,,,,331300861039.0,13.0,40.696738,-73.976039,"101 PARK AVE-3RD FL BROOKLYN, NY 11205",BROOKLYN,11205.0,"0K,01,02,03,04,05",0K,05,No,,"$47,993.87 ",6%,1%,67%,24%,91%,6%,,,,,,,,,,,,,,,,,
SUCCESS ACADEMY PROSPECT HEIGHTS (BROOKLYN 6),84K756,,,,,331700861040.0,17.0,40.67349,-73.951131,"801 PARK PL-4TH FL BROOKLYN, NY 11216",BROOKLYN,11216.0,"0K,01,02,03,04,05",0K,05,No,,"$42,721.54 ",2%,2%,89%,6%,95%,2%,,,,,,,,,,,,,,,,,
CANARSIE ASCEND CHARTER SCHOOL,84K759,,,,,331800861033.0,18.0,40.644209000000004,-73.900824,"9719 FLATLANDS AVE BROOKLYN, NY 11236",BROOKLYN,11236.0,"0K,01,02,03,04,05",0K,05,No,,"$53,389.56 ",0%,0%,91%,6%,97%,0%,,,,,,,,,,,,,,,,,
